"result_id","dataset","scene","system/arm","pipeline_stage","metric_name","numerator","denominator","value","threshold_or_k","scope","comparison_group","development_or_transfer_status","primary_source_artifact","source_commit_or_tag","notes"
"B04","Replica","office_0","Mask3D raw masks from the frozen ms02 bundle (MIN_SCORE=0.2, min_vertices=20); 186 raw masks (inferred from pooled 521 minus P1 335 in docs/selector_v0_results.md - count itself not separately stated)","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","13","47","13/47","vertex IoU >= 0.50, best single proposal","proposal_ceiling","office_0 @IoU0.50, denominator 47 non-structural oracle entities","transfer scene 1; frozen anchor declared in the protocol before any P1 inference and hard-coded as TRANSFER_BASELINES in tools/c1p1_eval.py:44, which raises 'frozen anchor drift' if the recomputed value differs (it did not)","docs/c1_p1_multiview_proposals_protocol.md","f5737dd","CLAIM VERIFIED (claimed 13/47). Stated in the 'Frozen anchors' table (line 39), gate H1 (line 187, 'baseline 13/47'), and the Stage-2 verdict table (line 266). Corroborated by docs/c1_closeout.md line 71 (viable individual raw mask for 13/47). Gitignored corroboration: runs/phase8_c1p1/replica_office_0_eval.json field viable_mask3d: 13. DO NOT confuse with office_0's DELIVERED 12/47 (docs/c1_closeout.md line 43) - same denominator, different scope. The mask count 186 in system_arm is arithmetic I did from two stated proposal counts and is NOT stated in any source; treat it as unverified."
"B05","Replica","office_0","C1-P1 alone: identical frozen generator (40 renders, SAM 2.1 Hiera-L, same fusion cuts); bank of 335 proposals","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","12","47","12/47","vertex IoU >= 0.50, best single proposal","proposal_ceiling","office_0 @IoU0.50, denominator 47 non-structural oracle entities","transfer scene 1; run with NO code or parameter change from room_2 (protocol line 179-181, Stage-2 verdict line 257-259)","docs/selector_v0_results.md","5d20002","CLAIM VERIFIED (claimed 12/47), but NOT from the C1-P1 protocol - the Stage-2 verdict table (docs/c1_p1_multiview_proposals_protocol.md line 266) reports only pooled/baseline/delta and does NOT state P1-alone for the transfer scenes. The P1-alone value appears in docs/selector_v0_results.md line 78 ('P1 bank | office_0 | n=335 | ceiling 12/47'). Gitignored corroboration: runs/phase8_c1p1/replica_office_0_eval.json field viable_p1_alone: 12. IMPORTANT SCOPE FACT: on office_0, P1 ALONE (12/47) is LOWER than the Mask3D baseline (13/47). The pooled gain is a complementarity result, not P1 outperforming Mask3D. Any sentence of the form 'P1 raised coverage on office_0' is only true of the pooled bank."
"B06","Replica","office_0","Pooled = per-entity max(Mask3D raw, P1 bank); 521 proposals total","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling over the union of two banks","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","19","47","19/47","vertex IoU >= 0.50, best single proposal from either bank (per-entity max)","proposal_ceiling","office_0 @IoU0.50, denominator 47 non-structural oracle entities","transfer scene 1; predeclared gate H1 required improvement >= 5 over 13/47, measured +6","docs/c1_p1_multiview_proposals_protocol.md","f5737dd","CLAIM VERIFIED (claimed 19/47). Stated in the Stage-2 verdict table line 266: 'office_0 | 19/47 | 13/47 | +6 | 5 | 0.87 | 335 / 1.0 MB'. Corroborated by docs/c1_p2_composer_protocol.md line 53 and docs/selector_v0_results.md line 86 (pooled, n=521, ceiling 19/47). Gitignored corroboration: runs/phase8_c1p1/replica_office_0_eval.json viable_pooled: 19, n_new_viable: 6, n_new_in_key: 5, entity_evidence_coverage: 0.8723 (the doc rounds this to 0.87). The transfer verdict itself states this is 'prospective transfer under fixed settings, NOT sealed-holdout generalization' - office_0's human keys and frozen baselines pre-existed the protocol (line 194-196, 281-283)."
"B07","Replica","room_1","Mask3D raw masks from the frozen ms02 bundle (MIN_SCORE=0.2, min_vertices=20)","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","21","45","21/45","vertex IoU >= 0.50, best single proposal","proposal_ceiling","room_1 @IoU0.50, denominator 45 non-structural oracle entities","transfer scene 2; frozen anchor declared before P1 inference and hard-asserted at run time (tools/c1p1_eval.py:44, TRANSFER_BASELINES 'replica_room_1': (21, 45))","docs/c1_p1_multiview_proposals_protocol.md","f5737dd","CLAIM VERIFIED (claimed 21/45). Stated in the 'Frozen anchors' table (line 40), gate H2 (line 188, 'baseline 21/45'), and the Stage-2 verdict table (line 267). Corroborated by docs/c1_closeout.md line 71. Gitignored corroboration: runs/phase8_c1p1/replica_room_1_eval.json viable_mask3d: 21. DO NOT confuse with room_1's DELIVERED 17/45 (docs/c1_closeout.md line 45)."
"B08","Replica","room_1","C1-P1 alone: identical frozen generator; bank of 406 proposals","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","13","45","13/45","vertex IoU >= 0.50, best single proposal","proposal_ceiling","room_1 @IoU0.50, denominator 45 non-structural oracle entities","transfer scene 2; run with NO code or parameter change from room_2 or office_0","docs/selector_v0_results.md","5d20002","CLAIM VERIFIED (claimed 13/45), but NOT from the C1-P1 protocol - its Stage-2 verdict table does not state P1-alone for transfer scenes. Source is docs/selector_v0_results.md line 77 ('P1 bank | room_1 | n=406 | ceiling 13/45'). Gitignored corroboration: runs/phase8_c1p1/replica_room_1_eval.json viable_p1_alone: 13. IMPORTANT SCOPE FACT: on room_1, P1 ALONE (13/45) is far BELOW the Mask3D baseline (21/45). P1's value on both transfer scenes is complementarity inside the pooled max, not standalone coverage."
"B09","Replica","room_1","Pooled = per-entity max(Mask3D raw, P1 bank); 569 proposals total","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling over the union of two banks","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","26","45","26/45","vertex IoU >= 0.50, best single proposal from either bank (per-entity max)","proposal_ceiling","room_1 @IoU0.50, denominator 45 non-structural oracle entities","transfer scene 2; predeclared gate H2 required improvement >= 5 over 21/45, measured +5 (exactly at the gate)","docs/c1_p1_multiview_proposals_protocol.md","f5737dd","CLAIM VERIFIED (claimed 26/45). Stated in the Stage-2 verdict table line 267: 'room_1 | 26/45 | 21/45 | +5 | 3 | 0.98 | 406 / 1.1 MB'. Corroborated by docs/c1_p2_composer_protocol.md line 54 and docs/selector_v0_results.md line 85 (pooled, n=569, ceiling 26/45). Gitignored corroboration: runs/phase8_c1p1/replica_room_1_eval.json viable_pooled: 26, n_new_viable: 5, n_new_in_key: 3, entity_evidence_coverage: 0.9778 (doc rounds to 0.98). The +5 delta exactly meets gate H2's >= 5; the margin is zero."
"B10","Replica","room_2","C1-P1 alone, frozen 3x3-splat / stability_score_thresh=0.95 configuration; 534 proposals","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.25","39","53","39/53","vertex IoU >= 0.25 (LOOSER than the protocol's 0.50 criterion)","proposal_ceiling","room_2 @IoU0.25, denominator 53 non-structural oracle entities","development scene; same frozen generator, measured later as the mandatory Replica anchor arm of the ARKitScenes M1 protocol (reported, not gated)","docs/arkitscenes_mask_coverage_protocol.md","49d51c0","NOT among the values you asked me to verify - included because it is a distinct measured C1-P1 proposal ceiling on room_2 at a DIFFERENT IoU threshold, and quoting it beside the 0.50 numbers would double-count. Stated in the anchor-arm table at line 295-296 ('Replica 0.95: ceiling @IoU 0.50 = 25/53, ceiling @IoU 0.25 = 39/53'). Gitignored corroboration: runs/arkitscenes_selector/replica_room_2_m1_anchor.stab085.json field baseline_3x3.ceiling_025 = 39. Never combine with the 0.50 rows."
"B11","Replica","room_2","C1-P1 alone with the SINGLE-VARIABLE change stability_score_thresh 0.95 -> 0.85 (all else identical); 97 proposals. NOT ADOPTED.","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.50","7","53","7/53","vertex IoU >= 0.50; SAM stability_score_thresh = 0.85 instead of the frozen 0.95","proposal_ceiling","room_2 @IoU0.50, denominator 53 non-structural oracle entities","development scene, re-run as the mandatory anchor arm of a later protocol (2026-08-08); reported, not gated; the 0.85 pin was NOT adopted and every committed baseline artifact stands unchanged","docs/arkitscenes_mask_coverage_protocol.md","49d51c0","NOT among the values you asked me to verify - included because it is the direct evidence for how 'fixed in advance' the P1 settings actually are. Stated at line 293-300: at stability_score_thresh=0.85 room_2's ceiling COLLAPSES from 25/53 to 7/53 (and 39/53 -> 11/53 at IoU 0.25) while occupied-pixel coverage nearly doubles (46.5% -> 87.5%) and the bank shrinks 534 -> 97. The doc's own reading (lines 306-313): 'stability_score_thresh=0.95 was not a miscalibrated pin inherited carelessly. It is load-bearing, and for Replica it is close to optimal... The pin is not adopted.' Gitignored corroboration: runs/arkitscenes_selector/replica_room_2_m1_anchor.stab085.json (oracle_ceiling 0.50: 7, 0.25: 11, n_proposals: 97). This measurement post-dates the C1-P1 result by six days and could not have informed it."
"B12","Replica","room_2","C1-P1 alone with stability_score_thresh 0.85 (NOT ADOPTED); 97 proposals","proposal bank, pre-composition; oracle-evaluated best-single-proposal ceiling","oracle entities with at least one viable single proposal at vertex IoU >= 0.25","11","53","11/53","vertex IoU >= 0.25; SAM stability_score_thresh = 0.85 instead of the frozen 0.95","proposal_ceiling","room_2 @IoU0.25, denominator 53 non-structural oracle entities","development scene, anchor arm of a later protocol; reported, not gated; pin not adopted","docs/arkitscenes_mask_coverage_protocol.md","49d51c0","NOT among the values you asked me to verify. Stated at line 296 ('ceiling @IoU 0.25 | 39/53 | 11/53'). Gitignored corroboration: runs/arkitscenes_selector/replica_room_2_m1_anchor.stab085.json oracle_ceiling '0.25': 11. Pairs with the 7/53 row; do not mix with any IoU 0.50 row."
"C01","ARKitScenes Validation","pooled (41069021 + 41069025 + 41069042)","splat (three isolated point-splat renders of the instance alone; current shipped behaviour)","learned label stage — matched-instance classification (NOT detection, NOT QA)","matched-instance top-1 label accuracy","1","21","1/21","min_top1_score=0.28; top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_pooled_top1","pooled across 1 development scene (41069021) and 2 held-out transfer scenes","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Stated verbatim as '| **pooled** | splat | **1/21** | **4/21** |'. This is the DELIVERED label stage: 'the RGB image source is not yet wired into tools/arkit_vertical_slice.py, which still labels from splats.' Denominator 21 = instances that Mask3D recovered at vertex IoU>=0.50 against annotation-box-derived vertex sets, i.e. an ORACLE-GEOMETRY-SELECTED subset. It is not a scene-level, detection, or per-annotation number. Untracked corroboration: runs/arkit_label_image_ab*/summary.json (gitignored) give 0/7, 1/9, 0/5, which sum to the stated 1/21."
"C02","ARKitScenes Validation","pooled (41069021 + 41069025 + 41069042)","rgb_tight (real capture RGB, context_pad=0.15, target not marked)","learned label stage — matched-instance classification (NOT detection, NOT QA)","matched-instance top-1 label accuracy","12","21","12/21","min_top1_score=0.28; top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_pooled_top1","pooled across 1 development scene (41069021) and 2 held-out transfer scenes","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated verbatim as '| **pooled** | **rgb_tight** | **12/21** | **18/21** |'. VERIFIED. py line 150 marks an explicit 'ORACLE BOUNDARY: predictions are finalized on disk above'), It is also not yet shipped: the doc's own Limits say 'the RGB image source is not yet wired into tools/arkit_vertical_slice.py'. CAVEAT that must travel with this number: the 21 denominator is oracle-geometry-selected, so 12/21 is conditional on Mask3D having recovered the instance; per tracked docs the recovery was 7/18, 9/20 and 5/6 annotated entities. COLLISION WARNING: docs/c2_matched_labels_protocol.md:94 also contains the string '12/21' for Replica room_2 — a different dataset, vocabulary and experiment. Untracked corroboration: 5/7 + 5/9 + 2/5 in runs/arkit_label_image_ab*/summary.json (gitignored)."
"C03","ARKitScenes Validation","pooled (41069021 + 41069025 + 41069042)","splat","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","4","21","4/21","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_pooled_top3","pooled across 1 development + 2 held-out transfer scenes","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Stated verbatim. VERIFIED. Per-scene contributions stated as 0/7, 4/9, 0/5."
"C04","ARKitScenes Validation","pooled (41069021 + 41069025 + 41069042)","rgb_tight","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","18","21","18/21","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_pooled_top3","pooled across 1 development + 2 held-out transfer scenes","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated verbatim. VERIFIED. Per-scene contributions stated as 7/7, 8/9, 3/5. top-3 is a RANKING metric, not what the product displays: only a top-1 clearing min_top1_score=0.28 becomes a display label."
"C05","ARKitScenes Validation","41069021","splat","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","0","7","0/7","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene (labelled '(dev)' in the results table)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Independent tracked corroboration: docs/arkit_vertical_slice_72h.md (commit c718c46) states the splat baseline as '0/7 and 0/7 on development'. The doc's claim 'Every splat row reproduces its committed baseline exactly' is therefore checkable and holds for this scene."
"C06","ARKitScenes Validation","41069021","splat","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","0","7","0/7","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Corroborated by docs/arkit_vertical_slice_72h.md (c718c46). The tool docstring pre-declares this as the paired baseline: 'the paired dev baseline is 0/7 top-1 and 0/7 top-3 on geometry-matched instances. n=7. This is screening evidence; 2/7 could be noise.'"
"C07","ARKitScenes Validation","41069021","rgb_tight","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","5","7","5/7","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene — this is the scene the crop parameters were chosen on; not held out","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**5/7**'. n=7; the tool's own pre-declared limit says 'This is screening evidence; 2/7 could be noise.' Padding values were 'recorded, not frozen' per the tool docstring, so the dev scene is a tuning surface, not an independent measurement."
"C08","ARKitScenes Validation","41069021","rgb_tight","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","7","7","7/7","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**7/7**'. Both dev top-1 misses are recovered in top-3 and named in the doc: 'cabinet read as shelf, a narrow console table read as counter.'"
"C09","ARKitScenes Validation","41069025","splat","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","1","9","1/9","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069025","held-out transfer scene; table labels it '(sealed)' but the same doc's Scope section says it is 'human-inspected held-out transfer', NOT blinded-sealed","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Corroborated verbatim by docs/arkit_vertical_slice_72h.md (c718c46): '1/9 and 4/9 on 41069025'. This is the only scene where the splat arm scored any top-1."
"C10","ARKitScenes Validation","41069025","splat","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","4","9","4/9","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069025","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Corroborated by docs/arkit_vertical_slice_72h.md (c718c46). All 4 of the pooled splat top-3 hits come from this one scene."
"C11","ARKitScenes Validation","41069025","rgb_tight","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","5","9","5/9","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069025","held-out transfer scene; visually reviewed by the owner BEFORE this run, so not blinded","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**5/9**'. Doc states 'No tuning between scenes: identical tool and constants, only --scene-dir and --segmentation-dir differ.' Verified in code: the arm loop passes one shared LearnedLabelConfig() and one shared segmentation dir to every arm."
"C12","ARKitScenes Validation","41069025","rgb_tight","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","8","9","8/9","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069025","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**8/9**'."
"C13","ARKitScenes Validation","41069042","splat","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","0","5","0/5","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069042","held-out transfer scene; table says '(sealed)', Scope section says not blinded-sealed","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Corroborated verbatim by docs/arkit_vertical_slice_72h.md (c718c46): '0/5 and 0/5 on 41069042'."
"C14","ARKitScenes Validation","41069042","splat","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","0","5","0/5","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069042","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Corroborated by docs/arkit_vertical_slice_72h.md (c718c46)."
"C15","ARKitScenes Validation","41069042","rgb_tight","learned label stage — matched-instance classification","matched-instance top-1 label accuracy","2","5","2/5","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069042","held-out transfer scene; visually reviewed before this run","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**2/5**'. This is the weakest scene and the smallest denominator; the tool's own pre-declared caution ('2/7 could be noise') applies with equal force here."
"C16","ARKitScenes Validation","41069042","rgb_tight","learned label stage — matched-instance classification","matched-instance top-3 label accuracy","3","5","3/5","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069042","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated as '**3/5**'."
"C17","ARKitScenes Validation","41069021","rgb_context (real capture RGB, context_pad=0.60, outside-target dimmed to 0.7)","learned label stage — matched-instance classification (confound control arm)","matched-instance top-1 label accuracy","3","7","3/7","min_top1_score=0.28; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene only; this arm was NOT run on either transfer scene","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. This is the control that makes the RGB win interpretable: 'rgb_tight **beats** rgb_context (5/7 vs 3/7) ... a wide crop of a doorway reads as a kitchen, so a gain could have been CLIP recognising rooms rather than objects. More context measurably hurts, so the gain comes from real texture on the object.' Note the control exists on n=7 on the DEV scene only — it was not replicated on 41069025 or 41069042 (the doc's reproduce line for transfer scenes passes '--arms splat rgb_tight')."
"C18","ARKitScenes Validation","41069021","rgb_context","learned label stage — matched-instance classification (control arm)","matched-instance top-3 label accuracy","5","7","5/7","top_k=3; match IoU>=0.50","oracle_free_component_eval","AreaC_41069021","development scene only","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Stated in the results table."
"C19","ARKitScenes Validation","41069021","splat","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","1","0.00","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069021","development scene","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Doc states 'admitted 1 | adm. precision 0.00'. Numerator is not stated in any TRACKED source; the gitignored runs/arkit_label_image_ab/splat/label_eval.json records n_admitted=1, n_correct=0. Denominator here is ADMITTED-among-MATCHED (1), which must not be confused with the all-delivered admission rate 6/34 reported in docs/arkit_vertical_slice_72h.md — different denominator, different quantity."
"C20","ARKitScenes Validation","41069021","rgb_tight","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","7","0.71","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069021","development scene","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Doc states 'admitted 7 | adm. precision **0.71**'. Numerator not stated in a tracked source; gitignored runs/arkit_label_image_ab/rgb_tight/label_eval.json records n_admitted=7, n_correct=5, precision 0.7143. The threshold is explicitly NOT calibrated for this arm: 'min_top1_score=0.28 was chosen against splat scores ... is **not** calibrated for RGB.' All 7 matched instances were admitted (coverage 1.0), so this arm effectively abstains on nothing among matched instances."
"C21","ARKitScenes Validation","41069021","rgb_context","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","7","0.43","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069021","development scene only","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Doc states 'admitted 7 | 0.43'. Gitignored label_eval.json records precision 0.4286."
"C22","ARKitScenes Validation","41069025","splat","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","5","0.20","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069025","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Doc states 'admitted 5 | 0.20'. Numerator not stated in a tracked source."
"C23","ARKitScenes Validation","41069025","rgb_tight","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","9","0.56","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069025","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Doc states 'admitted 9 | **0.56**'. Gitignored label_eval records 0.5556. All 9 matched instances admitted."
"C24","ARKitScenes Validation","41069042","splat","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","3","0.00","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069042","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'delivered' during the reconciliation pass. Doc states 'admitted 3 | 0.00'."
"C25","ARKitScenes Validation","41069042","rgb_tight","learned label stage — selective admission on matched instances","admission precision (top1-correct / admitted), matched instances","—","4","0.50","min_top1_score=0.28","oracle_free_component_eval","AreaC_admission_41069042","held-out transfer scene (see status caveat)","docs/arkitscenes_rgb_label_results.md","c700df3","SCOPE: oracle_free_component_eval — the prediction path consumes no oracle and no human key, but the DENOMINATOR is instances already matched to an annotation box by the evaluator, so this is a component evaluation of the label stage and NOT end-to-end deployable performance. Reclassified from 'deployable' during the reconciliation pass. Doc states 'admitted 4 | **0.50**'. Note 4 admitted of 5 matched — the only rgb_tight scene where a matched instance stayed anonymous."
